"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C33,C31,C9,C4,C15,C6,C19,C21,C17,C13,C23,C25,C8,C11,C27";"C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02";15;".1uF";;;
2;"C32,C30,C24,C16,C12,C10,C26,C18,C28,C20,C14,C22,C3";"C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02";13;".01uF";;;
3;"R3,R21,R7,R22,R2,R25,R11,R17,R13,R4,R12,R14,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";13;"10k";;;
4;"J4,J3,J1,J2";"TE_640385-4";4;"640385-4";;;
5;"R9,R18,R27";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"6.3k";;;
6;"TP12,TP6,TP9,TP2,TP1,TP7,TP10,TP13,TP8,TP3,TP4,TP11,TP14,TP5";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";14;"TestPoint";;;
7;"R8,R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10K";;;
8;"U5,U4,U2,U1,U3";"DIP-8_W7.62mm_Socket";5;"TL082";;;
9;"R5,R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"14k";;;
10;"PS1";"CONV_RD-0512D";1;"RD-0512D";;;
11;"U8";"TO-92_Inline";1;"DI79L09ZAB";;;
12;"R6,R23,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"2.7k";;;
13;"C5,C7";"C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02";2;".33uF";;;
14;"C29";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"10uF CER";;;
15;"C1,C2";"C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02";2;"1uF";;;
16;"R10,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"20K";;;
17;"U6";"TO-92_Inline";1;"MCP1702-1502E/TO";;;
18;"R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"50k";;;
19;"U7";"TO-92_Inline";1;"DI78L09ZAB";;;
20;"J0";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
21;"L1";"1100R_MUR";1;"22uH";;;
22;"R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"100k";;;
